군집라벨,지점수,평균카메라수,총사고,총사망,총중상,총경상,평균사고건수,평균사망자수,평균중상자수,평균경상자수,평균사망률,평균중상률,평균위험점수,평균피해자비율
카메라 설치지점 (카메라多 사고少),1187,1.4085930918281382,17774,38,4661,21581,14.973883740522325,0.03201347935973041,3.9267059814658802,18.181128896377423,0.0020270785192848684,0.28039493874599025,34.927548441449034,1.5725780608748767
사망위험 (사망사고 집중),1241,0.08058017727639001,18680,1452,5216,21704,15.052377115229653,1.170024174053183,4.203062046736503,17.489121676067686,0.10965652051230443,0.301670585540642,47.767929089443996,1.6282953811238745
부족 (카메라少),10049,0.0,121757,0,32420,149539,12.116329983082894,0.0,3.2261916608617773,14.88098318240621,0.0,0.29751570505870095,28.24728828739178,1.604723011727229
사고다발 (사고多+중상多),1089,0.07529843893480258,44891,119,13739,56248,41.22222222222222,0.10927456382001836,12.616161616161616,51.65105601469238,0.0020798465158328706,0.3533288324230847,105.39577594123048,1.7107186046445457
