시도명,사고위험지역명,총사고건수,총사망자수,총중상자수,위험점수,사고분석유형명,군집라벨,권장카메라유형
경북,경상북도 영주시내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,87,2,27,242,기타 / 신호위반 / U턴중,사고다발 (사고多+중상多),신호위반 카메라
경기,경기도 군포시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,85,0,31,240,기타 / 안전거리미확보,사고다발 (사고多+중상多),과속 카메라
부산,부산광역시 연제구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,90,0,30,240,신호위반 / 기타 / 안전거리미확보 / U턴중,사고다발 (사고多+중상多),과속+신호위반 겸용
서울,서울특별시 서초구내에서 2023년도에 반경50m 이내 다른사고14건 이상 지역,67,0,34,237,안전거리미확보 / 기타 / 신호위반,사고다발 (사고多+중상多),과속+신호위반 겸용
경기,경기도 의정부시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,103,0,26,233,U턴중 / 기타 / 신호위반 / 안전거리미확보,사고다발 (사고多+중상多),과속+신호위반 겸용
부산,부산광역시 부산진구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,53,0,36,233,안전거리미확보 / 기타,사고다발 (사고多+중상多),과속 카메라
경기,경기도 성남시 수정구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,86,2,24,226,안전거리미확보 / 기타 / U턴중 / 신호위반,사고다발 (사고多+중상多),과속+신호위반 겸용
경북,경상북도 경주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,61,0,33,226,기타 / U턴중 / 안전거리미확보 / 신호위반,사고다발 (사고多+중상多),과속+신호위반 겸용
부산,부산광역시 부산진구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,50,0,35,225,안전거리미확보 / 신호위반 / 기타,사고다발 (사고多+중상多),과속+신호위반 겸용
서울,서울특별시 노원구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,79,0,29,224,안전거리미확보 / 신호위반 / U턴중 / 기타,사고다발 (사고多+중상多),과속+신호위반 겸용
경기,경기도 광주시내에서 2018년도에 반경80m 이내 다른사고10건 이상 지역,111,1,20,221,U턴중 / 신호위반 / 안전거리미확보 / 기타,사고다발 (사고多+중상多),과속+신호위반 겸용
서울,서울특별시 서초구내에서 2020년도에 반경50m 이내 다른사고14건 이상 지역,90,0,26,220,안전거리미확보 / 기타 / 신호위반,사고다발 (사고多+중상多),과속+신호위반 겸용
경기,경기도 과천시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,76,0,28,216,신호위반 / 기타 / 안전거리미확보,사고다발 (사고多+중상多),과속+신호위반 겸용
전남,전라남도 목포시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,96,0,24,216,과속 / U턴중 / 신호위반 / 안전거리미확보 / 기타,사고다발 (사고多+중상多),과속+신호위반 겸용
서울,서울특별시 성북구내에서 2024년도에 반경50m 이내 다른사고12건 이상 지역,66,0,30,216,기타 / 신호위반 / U턴중 / 안전거리미확보,사고다발 (사고多+중상多),과속+신호위반 겸용
부산,부산광역시 남구내에서 2022년도에 반경50m 이내 다른사고8건 이상 지역,45,0,34,215,안전거리미확보 / U턴중 / 기타,사고다발 (사고多+중상多),과속 카메라
대전,대전광역시 서구내에서 2019년도에 반경50m 이내 다른사고14건 이상 지역,131,0,16,211,기타 / 안전거리미확보 / 신호위반 / U턴중,사고다발 (사고多+중상多),과속+신호위반 겸용
경기,경기도 오산시내에서 2019년도에 반경100m 이내 다른사고6건 이상 지역,81,1,24,211,신호위반 / 기타 / U턴중 / 안전거리미확보,사고다발 (사고多+중상多),과속+신호위반 겸용
부산,부산광역시 중구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,69,0,28,209,기타 / U턴중 / 안전거리미확보,사고다발 (사고多+중상多),과속 카메라
경기,경기도 하남시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,87,0,24,207,신호위반 / U턴중 / 기타 / 안전거리미확보,사고다발 (사고多+중상多),과속+신호위반 겸용
경기,경기도 광주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,97,0,22,207,U턴중 / 기타 / 중앙선침범 / 안전거리미확보,사고다발 (사고多+중상多),과속 카메라
서울,서울특별시 송파구내에서 2024년도에 반경50m 이내 다른사고14건 이상 지역,86,2,20,206,기타 / U턴중 / 안전거리미확보,사고다발 (사고多+중상多),과속 카메라
경기,경기도 오산시내에서 2021년도에 반경100m 이내 다른사고6건 이상 지역,88,0,23,203,U턴중 / 기타 / 신호위반,사고다발 (사고多+중상多),신호위반 카메라
경기,경기도 오산시내에서 2021년도에 반경100m 이내 다른사고6건 이상 지역,87,0,23,202,기타 / 안전거리미확보,사고다발 (사고多+중상多),과속 카메라
경기,경기도 광주시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,91,0,22,201,신호위반 / U턴중 / 안전거리미확보 / 기타,사고다발 (사고多+중상多),과속+신호위반 겸용
대구,대구광역시 중구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,75,0,24,195,기타 / 안전거리미확보 / U턴중 / 신호위반,사고다발 (사고多+중상多),과속+신호위반 겸용
충남,충청남도 서산시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,38,1,29,193,신호위반 / 기타,사고다발 (사고多+중상多),신호위반 카메라
경기,경기도 오산시내에서 2020년도에 반경100m 이내 다른사고6건 이상 지역,88,1,19,193,기타 / U턴중 / 안전거리미확보 / 신호위반 / 과속,사고다발 (사고多+중상多),과속+신호위반 겸용
부산,부산광역시 부산진구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,70,0,24,190,U턴중 / 기타 / 안전거리미확보,사고다발 (사고多+중상多),과속 카메라
대구,대구광역시 중구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,74,1,21,189,신호위반 / 기타 / U턴중 / 안전거리미확보,사고다발 (사고多+중상多),과속+신호위반 겸용
경기,경기도 군포시내에서 2023년도에 반경100m 이내 다른사고6건 이상 지역,62,1,23,187,신호위반 / 기타 / 안전거리미확보 / U턴중,사고다발 (사고多+중상多),과속+신호위반 겸용
부산,부산광역시 동구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,46,1,26,186,기타 / 과속 / U턴중 / 안전거리미확보 / 신호위반,사고다발 (사고多+중상多),과속+신호위반 겸용
